journal_name,subject_area,print_number,online_number,journal_link
Zoonoses,"Medicine: Internal medicine: Infectious and parasitic diseases
Agriculture: Animal culture: Veterinary medicine",2737-7466,2737-7474,https://doaj.org/toc/2737-7466
Acta Scientiarum Polonorum: Hortorum Cultus,"Science: Chemistry: Organic chemistry: Biochemistry
Agriculture: Plant culture",1644-0692,2545-1405,https://doaj.org/toc/1644-0692
Medicina Veterinária,Agriculture: Animal culture: Veterinary medicine,1809-4678,2675-6617,https://doaj.org/toc/1809-4678
"Pakistan Journal of Agriculture, Agricultural Engineering & Veterinary Sciences",Agriculture,1023-1072,2663-7863,https://doaj.org/toc/1023-1072
Aquaculture Research,Agriculture: Aquaculture. Fisheries. Angling,1355-557X,1365-2109,https://doaj.org/toc/1355-557X
JDS Communications,Agriculture: Animal culture: Cattle: Dairy processing. Dairy products,,2666-9102,https://doaj.org/toc/2666-9102
Shuitu baochi yanjiu                            Research of Soil and Water Conservation,"Agriculture
Geography. Anthropology. Recreation: Environmental sciences",1005-3409,,https://doaj.org/toc/1005-3409
Agricultural Water Management,"Agriculture: Agriculture (General)
Social Sciences: Industries. Land use. Labor: Special industries and trades: Agricultural industries",,1873-2283,https://doaj.org/toc/1873-2283
Тваринництво Степу України                            Animal Husbandry of the Steppe of Ukraine,"Agriculture: Animal culture
Technology: Chemical technology: Biotechnology",2786-6750,2786-6769,https://doaj.org/toc/2786-6750
Nova Mehanizacija Šumarstva                            New Forestry Mechanisation,Agriculture: Forestry,1845-8815,1848-9834,https://doaj.org/toc/1845-8815
International Journal of Agricultural Sustainability,Agriculture,1473-5903,1747-762X,https://doaj.org/toc/1473-5903
Australian Journal of Grape and Wine Research,"Agriculture: Plant culture
Social Sciences: Industries. Land use. Labor: Special industries and trades",1322-7130,1755-0238,https://doaj.org/toc/1322-7130
Renewable Agriculture and Food Systems,"Technology: Home economics: Nutrition. Foods and food supply
Agriculture",,1742-1713,https://doaj.org/toc/1742-1713
Animal Welfare,"Science: Zoology
Agriculture: Animal culture: Veterinary medicine",0962-7286,2054-1538,https://doaj.org/toc/0962-7286
فیزیولوژی محیطی گیاهی                            Journal of Plant Environmental Physiology,Agriculture: Plant culture,2423-7671,2783-4689,https://doaj.org/toc/2423-7671
بیوتکنولوژی و بیوشیمی غلات                            Cereal Biotechnology and Biochemistry,"Agriculture: Plant culture
Science: Chemistry: Organic chemistry: Biochemistry",,2783-5170,https://doaj.org/toc/2783-5170
PhytoFrontiers,"Agriculture: Plant culture
Science: Botany",,2690-5442,https://doaj.org/toc/2690-5442
Fountain Journal of Natural and Applied Sciences (FUJNAS),"Geography. Anthropology. Recreation: Environmental sciences
Science: Physics
Science: Biology (General)
Technology: Chemical technology: Chemical engineering
Agriculture: Agriculture (General)",2350-1863,2354-337X,https://doaj.org/toc/2350-1863
Вестник защиты растений                            Plant Protection News,Agriculture: Plant culture,1727-1320,2308-6459,https://doaj.org/toc/1727-1320
Растениевъдни науки                            Bulgarian Journal of Crop Science,Agriculture,0568-465X,2534-9848,https://doaj.org/toc/0568-465X
Животновъдни науки                            Bulgarian Journal of Animal Husbandry,Agriculture: Animal culture,0514-7441,2534-9856,https://doaj.org/toc/0514-7441
Veterinary Integrative Sciences,Agriculture: Animal culture: Veterinary medicine,,2629-9968,https://doaj.org/toc/2629-9968
German Journal of Veterinary Research,Agriculture: Animal culture: Veterinary medicine,,2703-1322,https://doaj.org/toc/2703-1322
Revista Biológico Agropecuaria Tuxpan,Agriculture: Animal culture: Veterinary medicine,,2007-6940,https://doaj.org/toc/2007-6940
Kafrelsheikh Veterinary Medical Journal,Agriculture: Animal culture: Veterinary medicine,1687-1456,2682-2954,https://doaj.org/toc/1687-1456
Egyptian Journal of Plant Breeding,"Science: Botany: Plant ecology
Agriculture: Plant culture",1110-7863,2735-3885,https://doaj.org/toc/1110-7863
Advances in Bamboo Science,Agriculture: Forestry,,2773-1391,https://doaj.org/toc/2773-1391
Estudis d'Història Agraria,"Agriculture
History (General) and history of Europe",0210-4830,2385-359X,https://doaj.org/toc/0210-4830
Kafkas Universitesi Veteriner Fakültesi Dergisi,Agriculture: Animal culture: Veterinary medicine,,1309-2251,https://doaj.org/toc/1309-2251
Agrochemicals,"Agriculture
Technology: Chemical technology",,2813-3145,https://doaj.org/toc/2813-3145
Spanish Journal of Soil Science,Agriculture,,2253-6574,https://doaj.org/toc/2253-6574
Irish Journal of Agricultural and Food Research,"Agriculture: Agriculture (General)
Technology: Home economics: Nutrition. Foods and food supply",,2009-9029,https://doaj.org/toc/2009-9029
Egyptian Journal of Agricultural Research,Agriculture,1110-6336,2812-4936,https://doaj.org/toc/1110-6336
Crops,Agriculture: Agriculture (General),,2673-7655,https://doaj.org/toc/2673-7655
Seeds,Agriculture: Plant culture,,2674-1024,https://doaj.org/toc/2674-1024
Poultry,Agriculture: Animal culture,,2674-1164,https://doaj.org/toc/2674-1164
Zoonotic Diseases,"Science: Physiology: Animal biochemistry
Agriculture: Animal culture: Veterinary medicine
Science: Zoology",,2813-0227,https://doaj.org/toc/2813-0227
Jurnal Peternakan,Agriculture: Animal culture,1829-8729,2355-9470,https://doaj.org/toc/1829-8729
African and Mediterranean Agricultural Journal - Al Awamia                            AFRIMED AJ - Al Awamia,Agriculture,0572-2721,2658-9184,https://doaj.org/toc/0572-2721
Aquaculture Journal,Agriculture: Aquaculture. Fisheries. Angling,,2673-9496,https://doaj.org/toc/2673-9496
Revista Científica                            Revista Científica de la Facultad de Ciencias Veterinarias de la Universidad del Zulia,"Agriculture: Animal culture: Cattle
Agriculture: Animal culture: Veterinary medicine",0798-2259,2521-9715,https://doaj.org/toc/0798-2259
New Valley Journal of Agricultural Science,"Agriculture: Agriculture (General)
Agriculture: Plant culture
Agriculture: Animal culture
Agriculture: Aquaculture. Fisheries. Angling",2805-2420,2805-2439,https://doaj.org/toc/2805-2420
مدیریت بیابان                            Desert Management,"Geography. Anthropology. Recreation: Human ecology. Anthropogeography
Agriculture
Social Sciences: Industries. Land use. Labor: Management. Industrial management: Management of special enterprises",2476-3985,2476-3721,https://doaj.org/toc/2476-3985
Plantropica: Journal of Agricultural Science,Agriculture,,2541-6677,https://doaj.org/toc/2541-6677
Jurnal Ilmiah Rekayasa Pertanian dan Biosistem,Agriculture: Agriculture (General),2301-8119,2443-1354,https://doaj.org/toc/2301-8119
Agricultura Tropica et Subtropica,Agriculture,,1801-0571,https://doaj.org/toc/1801-0571
Mansoura Veterinary Medical Journal,Agriculture: Animal culture: Veterinary medicine,1110-7219,2682-2512,https://doaj.org/toc/1110-7219
پژوهش و توسعه جنگل                            Forest Research and Development,Agriculture: Forestry,2476-3551,,https://doaj.org/toc/2476-3551
Guangdong nongye kexue                            Guangdong Agricultural Sciences,Agriculture,1004-874X,,https://doaj.org/toc/1004-874X
Heringeriana,"Agriculture: Plant culture
Science: Botany",1983-6996,2359-165X,https://doaj.org/toc/1983-6996
Agroradix                            Agroradix: Jurnal Ilmu Pertanian,Agriculture,,2621-0665,https://doaj.org/toc/2621-0665
Indian Journal of Animal Sciences,Agriculture: Animal culture,0367-8318,2394-3327,https://doaj.org/toc/0367-8318
The Indian Journal of Agricultural Sciences,Agriculture,0019-5022,2394-3319,https://doaj.org/toc/0019-5022
The Philippine Journal of Fisheries,Agriculture: Aquaculture. Fisheries. Angling,0048-377X,2672-2836,https://doaj.org/toc/0048-377X
Journal of Agricultural Production,"Social Sciences: Industries. Land use. Labor: Special industries and trades
Agriculture: Agriculture (General)",,2757-6620,https://doaj.org/toc/2757-6620
پژوهش های کاربردی در گیاهپزشکی                            Journal of Applied Research in Plant Protection,"Agriculture: Plant culture
Science: Botany: Plant ecology",2383-1855,2717-3178,https://doaj.org/toc/2383-1855
Aquatic Living Resources                          ,Agriculture: Aquaculture. Fisheries. Angling,0990-7440,1765-2952,https://doaj.org/toc/0990-7440
Applied Entomology and Phytopathology                            نشریه آفات و بیماری های گیاهی,"Agriculture: Plant culture
Science: Botany",1026-5007,,https://doaj.org/toc/1026-5007
Atatürk Üniversitesi Ziraat Fakültesi Dergisi                            Ataturk University Journal of Agricultural Faculty,Agriculture: Agriculture (General),,2651-5016,https://doaj.org/toc/2651-5016
Jurnal Sosial Ekonomi Kelautan dan Perikanan,Agriculture: Aquaculture. Fisheries. Angling,2088-8449,2527-4805,https://doaj.org/toc/2088-8449
Journal of Natural Pesticide Research,"Science: Chemistry: Organic chemistry: Biochemistry
Agriculture: Agriculture (General)",,2773-0786,https://doaj.org/toc/2773-0786
Jurnal Medik Veteriner,Agriculture: Animal culture: Veterinary medicine,2615-7497,2581-012X,https://doaj.org/toc/2615-7497
Journal of Field Ornithology,"Science: Zoology
Agriculture: Animal culture",0273-8570,1557-9263,https://doaj.org/toc/0273-8570
ASM Science Journal,"Science: Mathematics
Science: Physics
Medicine: Medicine (General)
Technology: Engineering (General). Civil engineering (General)
Agriculture: Agriculture (General)",1823-6782,,https://doaj.org/toc/1823-6782
Jurnal Manajemen Agribisnis,Agriculture,2355-0759,2684-7728,https://doaj.org/toc/2355-0759
Veterinary Research Notes,Agriculture: Animal culture: Veterinary medicine,,2790-2218,https://doaj.org/toc/2790-2218
Journal of Agricultural Extension,Agriculture: Agriculture (General),1119-944X,2408-6851,https://doaj.org/toc/1119-944X
Jurnal HPT (Hama Penyakit Tumbuhan),Agriculture,2338-4336,2580-6459,https://doaj.org/toc/2338-4336
INRAE Productions Animales,"Agriculture: Animal culture
Agriculture: Aquaculture. Fisheries. Angling",,2824-3633,https://doaj.org/toc/2824-3633
Veterinary Sciences and Practices,Agriculture: Animal culture: Veterinary medicine,,2822-3608,https://doaj.org/toc/2822-3608
Journal on Processing and Energy in Agriculture,Agriculture,1821-4487,2956-0195,https://doaj.org/toc/1821-4487
JEPA (Jurnal Ekonomi Pertanian dan Agribisnis),Agriculture,2614-4670,2598-8174,https://doaj.org/toc/2614-4670
Media Kedokteran Hewan,Agriculture: Animal culture: Veterinary medicine,0215-8930,2775-975X,https://doaj.org/toc/0215-8930
Инновационная техника и технология                            Innovative Machinery and Technology,Agriculture: Agriculture (General),2410-0242,2414-9845,https://doaj.org/toc/2410-0242
Revista Agrotecnológica Amazónica,"Technology
Agriculture: Agriculture (General)",,2710-0510,https://doaj.org/toc/2710-0510
Біологія тварин                            The Animal Biology,"Science: Biology (General)
Agriculture: Animal culture: Veterinary medicine",1681-0015,2313-2191,https://doaj.org/toc/1681-0015
